flu,31851
headache,27638
just,10970
&amp;,6824
que,6340
got,5910
cdc,5744
diseases,5667
"measles,",5613
diarrhea,5507
caravan,5286
illegals,5276
provides,5243
ebola,5219
diseases?,5211
"pertussis,",5209
bringing?,5196
"answer⬇️

hiv,",5196
rubell…,5187
@amerikangirl07:,5186
-,5008
heard,4963
it's,4691
"oh,",4647
wait...,4610
@cnn.,4601
@realjameswoods:,4600
https://t.co/hqkvitdulq,4597
shot,4148
it’s,3772
measles,3767
getting,3475
people,3465
dia,3298
zika,3285
time,3252
cold,3224
i’m,3096
e,3054
gave,2928
#flu,2915
know,2859
en,2805
flu.,2702
–,2579
make,2571
headache.,2571
vaccine,2562
having,2397
time.,2388
help,2380
oh,2374
today,2374
mental,2309
el,2304
i'm,2254
good,2247
para,2235
running,2205
think,2171
week,2169
season,2160
told,2151
vaccination,2150
man,2129
mind,2128
2018,2108
y,2075
day,2068
health,2064
new,2049
happening,2045
large,2040
really,2008
"flu,",2007
percentage,1979
di,1975
national,1974
going,1972
"compulsively,",1957
sick,1936
outbreak,1925
don’t,1897
ya,1874
worst,1863
como,1855
intimacy,1850
u,1850
#ebola,1811
headache!!!!!!!!!!,1808
naaaaaaaaaaaaahhhh,1807
https://t.co/tybewdmufb,1807
@fatherflee:,1806
feel,1803
bad,1788
@sadhgurujv:,1775
#sadhguru…,1773
cases,1765
night,1753
é,1749
feels,1744
"headache,",1719
nigerians,1701
la,1698
don't,1691
30,1677
media,1670
need,1669
ha,1658
com,1651
kena,1651
days,1645
president,1623
karena,1620
for…,1612
believes,1605
tidak,1602
i’ve,1597
akan,1575
bilang,1571
virus,1568
mma,1564
dancer,1564
walaupun,1562
"eun,",1562
cilik,1561
mencuci,1561
bersalaman,1561
tangannya,1558
@lndomy:,1556
"kemarin,",1556
denga…,1554
did,1552
influenza,1552
da,1547
international,1522
@mbuhari,1520
it.,1502
te,1495
inferior,1481
@benmurraybruce:,1478
work,1476
sleep,1403
want,1367
cuando,1329
veces,1290
past,1287
salón,1283
tosiste,1282
piensen,1282
aguantas,1282
https://t.co/41ech2t8ak,1281
@trikiduki:,1281
tenes,1281
na,1279
giving,1262
life,1252
fight,1247
winter,1243
pra,1241
year,1231
family,1227
and…,1217
2,1217
free,1210
t…,1199
não,1194
trying,1180
crying,1177
right,1177
em,1175
ur,1170
fucking,1131
hope,1129
way,1113
se,1112
gives,1111
sure,1103
immune,1101
protect,1085
big,1085
bout,1077
"fla;
*",1076
number,1072
os,1070
stomach,1068
um,1055
women,1052
3,1043
woke,1037
shit,1033
confirmed,1031
best,1024
head,1016
children,1006
tell,1002
say,991
better,991
can’t,978
im,977
gonna,971
stop,964
flu?,959
late,953
colds,941
cause,939
die,936
kisses,934
cuddles,933
symptoms,932
listens,929
you're,929
sex.,924
pounding,920
shots,916
home,908
worth,895
risk,889
body,884
vaccines,884
come,880
away,878
easy,877
5,870
love,858
coming,858
clear,854
1,853
evening,851
eu,850
i've,849
ears,844
morning,844
tbh,829
",",829
great,822
video,820
lot,813
headach…,812
case,804
emoluments,803
|,802
popping,801
sex,794
support,793
temples,793
"traffic,",792
literally,786
boost,785
"clothes,",785
"nostril,",783
"night!
from",781
"gnight!
through",781
@lin_manuel:,780
important,774
10,769
making,768
ele,764
fla,762
i…,761
kids,759
said,758
por,756
pain,748
feeling,740
twice,736
comfor…,735
@lmpostmalone:,735
proven,728
jab,728
let,726
a…,720
4,715
ass,708
play,694
abel,693
#measles,688
torcida,687
years,678
read,676
worse,676
disease,672
died,671
killing,670
news,666
does,664
bed,664
long,662
high,659
owe,647
lol,646
foi,646
congo,644
thing,641
makes,639
spread,639
father,635
q,635
ain’t,635
história,630
le,630
check,626
à,626
ask,626
🤕,625
damn,625
stay,622
care,622
@whattheffacts:,621
😭,621
fuck,619
week.,618
los,614
pro,612
we're,608
black,606
use,605
uma,605
she’s,603
técnico,603
maior,600
mais,598
that’s,594
thanks,593
hate,593
guy,591
can't,589
treat,588
hard,588
fluminense,585
gotten,585
went,580
@cdcflu:,575
world,573
they’re,569
says,569
thank,568
hospital,568
stress,567
soap,566
flu:,564
h…,554
shot.,551
😂,548
@healthranger:,547
vexame,547
girl,546
trump,544
"braga:

*",544
white,544
chamou,543
balançou,540
mas,540
pequeno…,538
.,538
genitais,538
@nichrs:,537
+,534
spanish,533
little,533
death,532
million,532
look,532
actually,527
"me,",527
th…,526
men,523
refusing,519
reading,511
😩,511
volta,507
tea,506
--,506
biggest,504
#zika,504
the…,503
season!,503
drinking,502
hours,499
https://t.co/r…,498
cbd,493
try,492
@youtube,491
"season,",490
doing,489
thought,488
things,487
prevent,486
vaccinated,486
gets,484
sobre,484
shows,484
offer,483
using,480
research,480
blocking,480
6,479
wake,477
you…,474
epidemic,474
wanna,473
you’re,473
took,472
m…,472
del,471
n,471
banning,471
matatus,471
@helenbranswell:,470
massive,470
ready,468
drc,468
sinus,468
pls,468
tem,466
"yes,",464
unable,464
100%,462
u.s.,462
haven't,462
killed,461
@webmd:,460
—,459
só,459
won't,459
dan,459
bc,456
et,455
believe,455
"anus,italipuka.",454
water,453
@babu_owino:,452
reason,452
#nivw,452
start,450
haven’t,446
school,445
me.,444
hit,443
real,441
co…,439
came,439
omg,439
baby,438
medical,437
happy,433
isn’t,431
x,430
drink,430
simple,430
#fluvaccine,429
taking,427
today.,427
watching,427
months,427
that's,427
season.,426
looking,424
unless,424
healthy,422
mean,422
probably,421
"deleted.

sometimes,",421
esse,421
instead,420
sorry,420
@adewalepresh:,418
open,417
nice,414
used,413
state,413
y’all,412
public,412
adults,412
god,412
deadly,412
hi,412
needs,409
mad,409
ginger,407
safe?,407
old,406
plan,406
deaths,406
didn’t,405
sore,405
boss,403
apart,403
!,402
learn,402
gotta,401
talking,401
honey,400
f…,400
especially,400
fever,397
swine,396
officials,393
headache?,391
...,390
penis,390
pregnant,390
"shot,",390
lungs,389
"well,",387
ease,387
weeks,387
breathe,386
asked,386
@cdcgov,385
her:,384
s…,384
fluid,384
avoid,383
"relationship

me:",383
https://t.co/0u8xnxtyh2,383
"tumor
lack",382
@biisi96:,382
"coffee
stress
brain",382
"either:

dehydration
too",382
@proxactears:,381
dr,381
caught,381
i'll,379
rn,379
:,378
turn,377
o…,377
talk,373
26,371
child,371
lost,369
clause,369
catch,369
gone,368
there’s,368
eat,367
"world,",367
seattle,367
“you’re,366
medley,365
"controversies,",365
kill,365
overlook,365
las,364
vai,364
muito,364
doctor,364
university,363
@stevebenen:,363
patients,363
proposing,361
friends,361
reasons,360
december,360
@unkle_k:,359
major,359
drown,359
blood,359
https://t.co/i1xdbw5kgy,359
bitch,358
"cold,",357
"me,”",356
muttered,356
motto:,356
ser,356
holiday,356
game,356
soothing,355
@radiofreetom:,355
https://t.co/4lyqm2bx6b,355
e…,355
forget,354
#…,354
w…,354
end,352
trust,351
live,351
increased,351
maybe,351
remember,350
common,350
les,348
times,348
make.,348
christmas,347
final,347
week!,347
"walk,",344
pelo,344
truth,344
explosive,343
🍵,343
rest,342
eyes,341
huge,341
https://t.co/hvttjtuv…,340
global,340
meu,339
hands,338
throat,337
nap,337
pq,336
event,336
watch,335
step,335
du,333
nose,332
early,332
clean,331
mouth,330
"money,",330
já,330
thinking,330
vaccine.,329
states,329
@thetiptoefairy:,328
c…,328
#health,328
brain,328
parents,327
dos,327
situation,325
room,325
ao,324
#flushot,324
highlighting,324
?,324
tired,323
tomorrow,322
/,322
bisa,322
left,321
spreading,320
severe,320
w,320
@hhsgov:,320
now.,318
@realdonaldtrump,318
plus,318
to…,318
continue,318
lead,317
p…,317
"favors,fuck",316
"bullshitting,keep",316
bullshitting.,316
terrible,316
@___kweenin:,315
reduces,315
makin…,315
@theeconomist:,314
started,314
person,313
interesting,313
tips,312
isn't,311
data,311
caused,311
und,310
bring,310
comes,310
receiving,308
vaccinate,308
despite,307
catching,307
accidentally,307
dont,307
nan,306
post,305
guys,303
v…,303
washing,303
